дата,тип атаки,сектор,втрати
2024-01-15,Phishing,Finance,12500
2024-01-20,DDoS,Government,4500
2024-02-05,Malware,Healthcare,32000
2024-02-14,SQL Injection,Tech,8900
2024-03-01,Phishing,Energy,15000
2024-03-22,DDoS,Finance,21000
2024-04-10,Malware,Government,5400
2024-04-28,Phishing,Tech,1200
2024-05-12,SQL Injection,Healthcare,17500
2024-05-30,DDoS,Energy,60000
2023-06-15,Malware,Finance,4300
2023-07-20,Phishing,Government,2800
2023-08-05,SQL Injection,Tech,11000
2023-09-14,DDoS,Healthcare,9500
2023-10-01,Malware,Energy,25000
2023-11-15,Phishing,Finance,7200
2023-12-20,SQL Injection,Government,3100
2022-01-10,DDoS,Tech,50000
2022-05-15,Malware,Healthcare,13400
2022-08-22,Phishing,Energy,19000
